-1.75	1.12	-1.07	0.99	-0.09	-0.36	-0.59	0.83
0.21	-0.54	-0.15	-1.38	0.35	0.38	-0.87	2.34
1.23	0.29	0.23	0.78	1.42	0.10	-0.41	-0.44
2.25	0.48	-0.54	-1.17	0.78	-0.81	0.56	-0.12
0.71	0.57	0.69	-1.64	-0.50	-2.60	-1.64	0.82
0.62	0.61	-2.80	-0.63	1.58	-0.85	0.28	0.55
1.99	0.46	-1.48	-1.26	0.91	-0.81	-0.09	-0.08
1.21	0.00	0.00	-0.92	0.21	-1.31	1.08	-0.17
-0.11	-0.06	-0.90	1.79	-0.71	1.65	-0.64	0.42
-0.67	-0.81	2.10	-0.15	1.13	-0.06	-1.52	0.00
1.77	-1.04	-0.61	0.15	2.01	0.16	-1.53	-1.55
1.74	0.32	2.18	-0.02	0.66	0.53	0.25	-0.44
-1.07	-0.85	-0.40	-0.88	-0.47	0.19	0.01	-1.05
0.28	0.46	-0.40	-0.43	-1.27	0.37	0.51	-0.56
0.67	1.14	-1.71	1.79	0.51	1.54	-0.80	0.71
1.38	-2.04	0.02	0.46	0.55	0.42	-0.01	-0.92
-0.23	0.22	1.40	-0.78	1.55	-1.61	-1.15	-0.21
-0.43	-0.43	0.31	-1.97	-1.16	2.36	0.28	-0.54
-0.09	2.46	-0.08	-1.20	-0.85	0.01	0.89	0.57
-0.12	2.27	-0.53	-1.89	-0.27	0.34	2.05	0.89
0.89	-0.28	0.84	-0.41	0.90	-1.29	-0.57	-1.29
-0.75	-1.97	-0.02	2.01	1.44	1.18	1.53	0.45
-1.03	-1.04	-1.12	0.38	-0.19	0.77	0.37	-0.04
2.07	-0.45	0.77	1.77	1.75	0.25	-0.16	0.69
-1.01	-0.26	-1.00	-0.14	-0.51	-0.29	-1.19	0.29
-0.05	-2.01	-0.69	-0.58	0.55	0.42	-0.03	-0.65
0.17	-0.04	-0.39	2.06	0.86	1.53	-1.98	-0.21
1.01	-0.63	0.12	2.21	1.47	-2.16	0.66	0.05
-0.73	0.56	-0.96	-0.91	0.11	0.74	2.50	-0.41
-0.62	0.17	-0.12	0.84	1.43	-0.92	-0.77	1.50
-0.40	-0.55	-0.79	-0.13	-0.18	0.88	1.03	0.55
0.53	-1.73	0.41	0.54	0.40	0.12	0.15	0.23
-1.06	-0.13	-0.65	2.82	1.07	1.00	0.30	1.19
-0.63	0.02	-0.08	-0.38	0.02	-0.69	-1.30	0.16
1.67	0.31	-1.68	-1.16	-0.71	0.20	-1.79	-0.45
-0.11	-0.25	1.20	-0.63	0.25	-1.05	0.01	1.61
-0.64	-2.10	0.35	-2.72	-0.33	0.01	-0.01	1.05
-0.81	-0.25	0.05	-1.14	-0.67	-0.48	-0.57	-2.01
-0.61	-1.51	-1.00	-0.05	-1.35	1.44	0.20	-0.70
1.57	-0.93	1.45	-1.62	0.59	0.06	-1.15	-0.56
-0.93	-1.29	0.09	1.26	-0.53	0.74	3.03	-1.84
0.56	1.28	-1.61	-1.08	0.89	0.66	1.89	-1.32
-0.09	1.69	0.22	0.63	-0.84	-0.71	-1.10	-1.27
-1.66	-1.15	-1.42	0.83	-0.40	-0.05	-0.06	-1.46
-0.11	0.85	0.60	0.54	-0.54	0.12	0.97	0.47
0.30	0.74	-0.06	1.27	1.12	0.72	-0.44	-0.85
0.57	0.71	1.05	-0.93	-0.10	0.00	0.35	0.07
0.17	-2.38	-1.93	-1.04	0.96	0.93	0.72	-1.20
0.09	0.44	0.55	1.40	-0.28	2.26	0.21	-0.90
1.50	0.47	0.22	-0.55	0.33	0.23	-0.26	0.27
-1.17	2.07	0.21	0.14	0.97	1.58	-0.84	-0.41
0.12	-0.97	-0.46	-1.23	0.93	0.00	-0.47	-0.11
-1.73	-1.35	0.84	0.46	0.61	0.25	1.29	-0.25
0.45	1.31	0.70	-1.65	0.59	1.01	0.14	0.32
-0.39	-0.21	0.44	0.07	0.13	0.23	0.13	0.05
-1.38	0.22	-1.36	0.43	1.33	-0.29	-1.18	0.63
-0.07	-0.82	-0.31	-0.30	-1.10	-0.72	-0.74	0.18
1.17	-0.92	-0.39	-0.63	1.74	0.31	-0.13	0.43
0.02	-1.55	-1.04	0.38	-0.98	-1.39	2.18	-0.03
1.36	0.45	-0.26	-1.28	-0.64	-1.55	0.13	0.50
-1.57	-2.07	1.34	-0.55	-0.27	-0.28	-0.66	0.65
2.45	-0.07	-0.68	0.36	-0.07	0.19	2.10	-0.29
-0.24	1.71	-0.36	-0.64	0.00	1.02	-1.35	1.12
-0.04	0.36	0.51	0.52	-0.07	0.23	0.73	1.30
0.69	-0.55	-0.31	-0.37	-2.00	1.04	1.26	-0.73
0.82	1.25	-0.29	1.57	-0.95	-0.84	-0.05	0.09
1.97	0.05	1.40	0.96	1.08	0.52	-2.67	-0.37
-0.24	-1.56	-1.90	0.39	1.09	0.82	0.87	-0.45
-1.14	-0.90	1.36	-0.82	0.70	1.12	0.10	0.07
0.84	1.20	0.91	1.24	-0.50	-0.77	-1.40	-1.91
0.30	0.20	0.29	0.42	1.26	1.62	1.34	-0.80
2.09	-0.36	-0.41	-0.94	-0.81	-1.81	0.12	-1.45
0.33	0.14	-1.19	0.56	0.38	-0.20	0.22	2.18
-0.32	0.50	-1.90	1.83	1.68	-0.36	-2.44	-0.86
0.02	-0.05	0.45	-0.47	-1.00	0.04	-2.17	-1.32
-0.41	0.92	-0.88	-0.45	-0.18	-1.77	-3.89	-0.77
0.98	-0.15	-0.16	-0.41	1.22	0.40	0.75	-0.60
0.17	-0.50	-1.46	-0.75	-0.30	-0.58	1.04	-0.75
-0.34	0.38	-0.76	-0.24	-2.34	0.20	0.75	-0.97
0.32	0.62	0.71	0.57	0.05	0.81	1.22	0.18
-0.65	0.63	-1.93	0.79	0.14	-0.50	-0.64	0.96
0.08	0.12	-0.83	0.40	0.23	-3.44	0.12	-0.61
0.15	0.28	-0.53	-0.49	-0.58	-0.34	1.69	0.20
-1.26	0.23	0.41	0.35	0.33	1.67	-1.28	-0.27
0.15	0.23	0.16	0.75	1.75	-0.18	-0.63	0.66
1.75	-0.25	-0.11	-0.07	-0.33	-0.89	-1.23	0.23
-0.06	-0.32	0.54	1.11	-0.85	0.25	1.58	0.06
0.39	0.23	0.95	0.92	0.04	-0.19	-0.56	-0.09
-0.50	-2.06	-1.00	1.76	-1.59	0.95	-1.29	0.86
0.13	0.31	0.40	-1.71	-0.51	1.35	0.61	-0.95
0.60	0.37	1.08	-0.56	1.03	-0.58	-0.76	-0.82
0.32	-1.55	-0.81	-0.79	-1.00	0.07	0.97	2.22
1.24	-1.46	0.61	0.06	0.21	-1.27	0.85	-0.68
0.31	-0.44	-0.15	1.28	0.64	-0.75	0.65	-0.64
-0.19	1.17	-1.02	0.51	0.35	0.83	-1.05	1.01
0.22	0.80	0.48	-0.92	-0.58	-0.72	0.06	-0.40
0.24	0.31	0.80	0.64	-1.85	-0.26	1.09	1.82
1.66	-0.31	-0.31	-0.58	-0.24	0.44	-0.88	-1.54
-1.29	-0.84	1.82	-1.05	-0.05	-0.50	-1.12	0.23
1.12	-1.24	-1.64	-0.09	0.62	-0.34	-0.45	-2.23
0.42	0.13	4.42	1.94	5.61	5.74	7.15	8.17
0.11	4.25	4.14	2.86	4.54	7.33	4.39	7.59
1.07	2.90	3.44	3.12	5.51	5.96	7.42	9.42
0.73	0.90	1.57	3.47	6.45	5.22	9.40	8.66
